geoname_id,ascii_name,feature_cla,feature_cod,country_cod,cou_name_en,country_cod_1,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modificatio,label_en
1122189,Tulak,P,PPLA2,AF,Afghanistan,,9,2703,,,0,,2275,Asia/Kabul,2018/2/17,Afghanistan
1123424,Tagab,P,PPL,AF,Afghanistan,,14,205,,,6400,,1335,Asia/Kabul,2020/6/9,Afghanistan
1127768,Aibak,P,PPLA,AF,Afghanistan,,32,1501,,,47823,,969,Asia/Kabul,2020/6/9,Afghanistan
1136723,Khinjan,P,PPLA2,AF,Afghanistan,,3,1306,,,0,,1132,Asia/Kabul,2020/6/9,Afghanistan
1138801,Ka'i,P,PPLA2,AF,Afghanistan,,18,810,,,0,,945,Asia/Kabul,2020/7/8,Afghanistan
1140614,Goshtah,P,PPLA2,AF,Afghanistan,,18,816,,,0,,483,Asia/Kabul,2020/6/9,Afghanistan
1142171,Faizabad,P,PPLA2,AF,Afghanistan,,31,1708,,,0,,312,Asia/Kabul,2018/2/17,Afghanistan
1143477,Dehi,P,PPLA2,AF,Afghanistan,,32,1504,,,0,,1271,Asia/Kabul,2018/2/17,Afghanistan
1149052,'Alaqahdari Dishu,P,PPLA2,AF,Afghanistan,,10,2310,,,9196,,596,Asia/Kabul,2018/2/17,Afghanistan
1349513,Ghulam 'Ali,P,PPLA2,AF,Afghanistan,,40,308,,,0,,1489,Asia/Kabul,2020/6/11,Afghanistan
1467976,`Aliabad,P,PPLA2,AF,Afghanistan,,24,1405,,,0,,426,Asia/Kabul,2020/7/10,Afghanistan
1476203,Ster Giyan,P,PPLA2,AF,Afghanistan,,29,2910,,,0,,2132,Asia/Kabul,2018/2/17,Afghanistan
1125444,Shibirghan,P,PPLA,AF,Afghanistan,,31,1701,,,55641,,360,Asia/Kabul,2020/6/9,Afghanistan
1128310,Rabat-e Sangi-ye Pa'in,P,PPLA2,AF,Afghanistan,,11,2006,,,0,,1192,Asia/Kabul,2020/6/9,Afghanistan
1130131,Qalat,P,PPLA,AF,Afghanistan,,28,2501,,,12191,,1568,Asia/Kabul,2020/6/9,Afghanistan
1132770,Bala Murghab,P,PPLA2,AF,Afghanistan,,2,1906,,,0,,466,Asia/Kabul,2018/2/17,Afghanistan
1133279,Miran,P,PPLA2,AF,Afghanistan,,27,405,,,0,,2457,Asia/Kabul,2020/6/9,Afghanistan
1137121,Khanaqah,P,PPLA2,AF,Afghanistan,,26,1204,,,0,,1378,Asia/Kabul,2020/6/9,Afghanistan
1137359,Khakiran,P,PPLA2,AF,Afghanistan,,28,2510,,,0,,2673,Asia/Kabul,2020/6/9,Afghanistan
1140623,Gomal Kelay,P,PPLA2,AF,Afghanistan,,29,2906,,,0,,1827,Asia/Kabul,2020/6/9,Afghanistan
1146336,Bulolah,P,PPLA2,AF,Afghanistan,,5,2802,,,0,,2430,Asia/Kabul,2020/6/9,Afghanistan
1451863,Wutahpur,P,PPLA2,AF,Afghanistan,,34,1008,,,0,,872,Asia/Kabul,2020/6/11,Afghanistan
1120473,Wuleswali Bihsud,P,PPLA2,AF,Afghanistan,,27,404,,,0,,2960,Asia/Kabul,2020/6/9,Afghanistan
1124621,Siyahgird,P,PPLA2,AF,Afghanistan,,40,305,,,0,,1878,Asia/Kabul,2020/6/9,Afghanistan
1135960,Khoshi,P,PPLA2,AF,Afghanistan,,17,504,,,0,,2252,Asia/Kabul,2020/6/9,Afghanistan
1142545,Imam Sahib,P,PPLA2,AF,Afghanistan,,24,1402,,,9659,,358,Asia/Kabul,2020/6/9,Afghanistan
1146911,Burkah,P,PPLA2,AF,Afghanistan,,3,1310,,,0,,1188,Asia/Kabul,2020/6/9,Afghanistan
1148114,'Alaqahdari Atghar,P,PPLA2,AF,Afghanistan,,28,2508,,,0,,1827,Asia/Kabul,2020/6/9,Afghanistan
1148268,Ashkasham,P,PPL,AF,Afghanistan,,1,1107,,,12120,,3057,Asia/Kabul,2018/2/17,Afghanistan
1149348,Pachir wa Agam,P,PPLA2,AF,Afghanistan,,18,807,,,0,,1241,Asia/Kabul,2020/7/29,Afghanistan
1120627,Ziarat-e Shah Maqsud,P,PPLA2,AF,Afghanistan,,23,2405,,,0,,1577,Asia/Kabul,2020/6/9,Afghanistan
1120879,Zarah Sharan,P,PPL,AF,Afghanistan,,29,2901,,,7366,,2154,Asia/Kabul,2020/6/9,Afghanistan
1120985,Zaranj,P,PPLA,AF,Afghanistan,,19,2201,,,49851,,489,Asia/Kabul,2018/2/13,Afghanistan
1126710,Sayagaz,P,PPLA2,AF,Afghanistan,,28,2503,,,0,,1673,Asia/Kabul,2018/2/17,Afghanistan
1126935,Sar Kani,P,PPLA2,AF,Afghanistan,,34,1015,,,0,,792,Asia/Kabul,2020/6/9,Afghanistan
1127001,Sarfiraz Kala,P,PPLA2,AF,Afghanistan,,8,611,,,0,,2106,Asia/Kabul,2020/6/9,Afghanistan
1131479,Urgun,P,PPLA2,AF,Afghanistan,,29,2911,,,0,,2208,Asia/Kabul,2018/2/17,Afghanistan
1132550,Hukumat-e Nad 'Ali,P,PPLA2,AF,Afghanistan,,10,2308,,,0,,797,Asia/Kabul,2020/6/9,Afghanistan
1135158,Kushk,P,PPL,AF,Afghanistan,,11,2014,,,16952,,1115,Asia/Kabul,2018/2/17,Afghanistan
1135514,Kotowal,P,PPLA2,AF,Afghanistan,,18,808,,,0,,1464,Asia/Kabul,2018/2/17,Afghanistan
1137247,Khamyab,P,PPLA2,AF,Afghanistan,,31,1709,,,0,,254,Asia/Kabul,2018/2/17,Afghanistan
1138321,Kanday,P,PPLA2,AF,Afghanistan,,34,1009,,,0,,1222,Asia/Kabul,2020/6/9,Afghanistan
1139683,Jalrez,P,PPLA2,AF,Afghanistan,,27,402,,,0,,2347,Asia/Kabul,2020/6/9,Afghanistan
1139715,Jalalabad,P,PPLA,AF,Afghanistan,,18,801,,,271900,,575,Asia/Kabul,2022/6/18,Afghanistan
1143548,Deh-e Now,P,PPLA2,AF,Afghanistan,,13,113,,,0,,1974,Asia/Kabul,2018/2/17,Afghanistan
1146979,Barg-e Matal,P,PPLA2,AF,Afghanistan,,38,3005,,,0,,2077,Asia/Kabul,2020/6/9,Afghanistan
1148792,Amanzi,P,PPLA2,AF,Afghanistan,,23,2410,,,0,,993,Asia/Kabul,2018/2/17,Afghanistan
1148863,'Alaqahdari-ye Almar,P,PPLA2,AF,Afghanistan,,7,1803,,,0,,840,Asia/Kabul,2018/2/17,Afghanistan
1349934,Surkh Bilandi,P,PPLA2,AF,Afghanistan,,13,107,,,0,,2040,Asia/Kabul,2020/6/11,Afghanistan
1429434,Bazarak,P,PPLA,AF,Afghanistan,,42,3301,,,65000,,1965,Asia/Kabul,2020/6/11,Afghanistan
1468514,Pas Pul,P,PPLA2,AF,Afghanistan,,1,1119,,,0,,2143,Asia/Kabul,2018/2/17,Afghanistan
1120487,Tukzar,P,PPLA2,AF,Afghanistan,,33,3102,,,12021,,1210,Asia/Kabul,2020/6/9,Afghanistan
1121418,Yahya Khel,P,PPLA2,AF,Afghanistan,,29,2918,,,0,,2136,Asia/Kabul,2020/6/9,Afghanistan
1130490,Pul-e Khumri,P,PPLA,AF,Afghanistan,,3,1301,,,56369,,638,Asia/Kabul,2020/6/9,Afghanistan
1133453,Maymana,P,PPLA,AF,Afghanistan,,7,1801,,,75900,877,864,Asia/Kabul,2018/2/17,Afghanistan
1136250,Khwajah Du Koh,P,PPLA2,AF,Afghanistan,,31,1702,,,0,,307,Asia/Kabul,2020/6/9,Afghanistan
1136863,Khash,P,PPL,AF,Afghanistan,,19,2205,,,15133,,579,Asia/Kabul,2018/2/17,Afghanistan
1141857,Gardez,P,PPLA,AF,Afghanistan,,36,701,,,103601,,2308,Asia/Kabul,2018/2/13,Afghanistan
1144905,Tsowkey,P,PPLA2,AF,Afghanistan,,34,1012,,,0,,725,Asia/Kabul,2020/6/9,Afghanistan
1145124,Chinar,P,PPLA2,AF,Afghanistan,,23,2406,,,0,,1132,Asia/Kabul,2020/6/9,Afghanistan
